Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_data[63:0],i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_en,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_sync,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a,i_system_wrapper/system_i/axi_ad9250_dma_irq,i_system_wrapper/system_i/sys_concat_intc_dout[15:0],data_a_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],data_b_high[31:0],data_b_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],data_b_high'[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED
175,175,0,0,ebcc1478ebe7145a,1,1,0,1,1,1,1000,5275,14c8149b,5320,eb7ceba8,-5208,eb7ceba8,-5252
176,176,0,0,eb7c14c8eba8149b,1,1,0,1,1,1,1000,5288,14e414a8,5348,eb60eb9b,-5221,eb60eb9b,-5280
177,177,0,0,eb6014e4eb9b14a8,1,1,0,1,1,1,1000,5358,14dd14ee,5341,eb69eb59,-5287,eb69eb59,-5271
178,178,0,0,eb6914ddeb5914ee,1,1,0,1,1,1,1000,5337,14d614d9,5334,eb6ceb67,-5273,eb6ceb67,-5268
179,179,0,0,eb6c14d6eb6714d9,1,1,0,1,1,1,1000,5317,14ac14c5,5292,eb9aeb80,-5248,eb9aeb80,-5222
180,180,0,0,eb9a14aceb8014c5,1,1,0,1,1,1,1000,5277,1471149d,5233,ebd0eba9,-5207,ebd0eba9,-5168
181,181,0,0,ebd01471eba9149d,1,1,0,1,1,1,1000,5209,14361459,5174,ec0cebe9,-5143,ec0cebe9,-5108
182,182,0,0,ec0c1436ebe91459,1,1,0,1,1,1,1000,5132,13da140c,5082,ec67ec37,-5065,ec67ec37,-5017
183,183,0,0,ec6713daec37140c,1,1,0,1,1,1,1000,5009,13651391,4965,ecdaecb3,-4941,ecdaecb3,-4902
184,184,0,0,ecda1365ecb31391,1,1,0,1,1,1,1000,4900,12f21324,4850,ed4fed1a,-4838,ed4fed1a,-4785
185,185,0,0,ed4f12f2ed1a1324,1,1,0,1,1,1,1000,4763,1243129b,4675,edf9eda1,-4703,edf9eda1,-4615
186,186,0,0,edf91243eda1129b,1,1,0,1,1,1,1000,4576,11a011e0,4512,ee9fee5a,-4518,ee9fee5a,-4449
187,187,0,0,ee9f11a0ee5a11e0,1,1,0,1,1,1,1000,4417,10d51141,4309,ef65eef9,-4359,ef65eef9,-4251
188,188,0,0,ef6510d5eef91141,1,1,0,1,1,1,1000,4206,1023106e,4131,f013efc8,-4152,f013efc8,-4077
189,189,0,0,f0131023efc8106e,1,1,0,1,1,1,1000,3996,0f380f9c,3896,f101f09e,-3938,f101f09e,-3839
190,190,0,0,f1010f38f09e0f9c,1,1,0,1,1,1,1000,3764,0e400eb4,3648,f1f4f180,-3712,f1f4f180,-3596
191,191,0,0,f1f40e40f1800eb4,1,1,0,1,1,1,1000,3525,0d450dc5,3397,f2edf26b,-3477,f2edf26b,-3347
192,192,0,0,f2ed0d45f26b0dc5,1,1,0,1,1,1,1000,3266,0c530cc2,3155,f3dff36e,-3218,f3dff36e,-3105
193,193,0,0,f3df0c53f36e0cc2,1,1,0,1,1,1,1000,2994,0b2a0bb2,2858,f500f47d,-2947,f500f47d,-2816
194,194,0,0,f5000b2af47d0bb2,1,1,0,1,1,1,1000,2715,09f70a9b,2551,f62ff594,-2668,f62ff594,-2513
195,195,0,0,f62f09f7f5940a9b,1,1,0,1,1,1,1000,2428,08f4097c,2292,f734f6ad,-2387,f734f6ad,-2252
196,196,0,0,f73408f4f6ad097c,1,1,0,1,1,1,1000,2128,07a80850,1960,f87df7d4,-2092,f87df7d4,-1923
197,197,0,0,f87d07a8f7d40850,1,1,0,1,1,1,1000,1800,06690708,1641,f9b8f91a,-1766,f9b8f91a,-1608
198,198,0,0,f9b80669f91a0708,1,1,0,1,1,1,1000,1500,053805dc,1336,fae7fa43,-1469,fae7fa43,-1305
199,199,0,0,fae70538fa4305dc,1,1,0,1,1,1,1000,1160,03f20488,1010,fc26fb95,-1131,fc26fb95,-986
200,200,0,0,fc2603f2fb950488,1,1,0,1,1,1,1000,845,029a034d,666,fd7efccc,-820,fd7efccc,-642
201,201,0,0,fd7e029afccc034d,1,1,0,1,1,1,1000,510,015a01fe,346,feb9fe1b,-485,feb9fe1b,-327
202,202,0,0,feb9015afe1b01fe,1,1,0,1,1,1,1000,181,000c00b5,12,0005ff5c,-164,0005ff5c,5
203,203,0,0,0005000cff5c00b5,1,1,0,1,1,1,1000,-165,febbff5b,-325,015400b4,180,015400b4,340
204,204,0,0,0154febb00b4ff5b,1,1,0,1,1,1,1000,-502,fd6afe0a,-662,02a101fe,510,02a101fe,673
205,205,0,0,02a1fd6a01fefe0a,1,1,0,1,1,1,1000,-843,fc27fcb5,-985,03e60354,852,03e60354,998
206,206,0,0,03e6fc270354fcb5,1,1,0,1,1,1,1000,-1155,fae0fb7d,-1312,05260488,1160,05260488,1318
207,207,0,0,0526fae00488fb7d,1,1,0,1,1,1,1000,-1511,f99dfa19,-1635,066805eb,1515,066805eb,1640
208,208,0,0,0668f99d05ebfa19,1,1,0,1,1,1,1000,-1791,f866f901,-1946,079706fe,1790,079706fe,1943
209,209,0,0,0797f86606fef901,1,1,0,1,1,1,1000,-2121,f72bf7b7,-2261,08d70846,2118,08d70846,2263
210,210,0,0,08d7f72b0846f7b7,1,1,0,1,1,1,1000,-2402,f60bf69e,-2549,09f0095c,2396,09f0095c,2544
211,211,0,0,09f0f60b095cf69e,1,1,0,1,1,1,1000,-2695,f4e6f579,-2842,0b100a80,2688,0b100a80,2832
212,212,0,0,0b10f4e60a80f579,1,1,0,1,1,1,1000,-2974,f3d6f462,-3114,0c1a0b93,2963,0c1a0b93,3098
213,213,0,0,0c1af3d60b93f462,1,1,0,1,1,1,1000,-3253,f2d0f34b,-3376,0d210cab,3243,0d210cab,3361
214,214,0,0,0d21f2d00cabf34b,1,1,0,1,1,1,1000,-3507,f1c3f24d,-3645,0e2a0da6,3494,0e2a0da6,3626
215,215,0,0,0e2af1c30da6f24d,1,1,0,1,1,1,1000,-3760,f0d9f150,-3879,0f100e9c,3740,0f100e9c,3856
216,216,0,0,0f10f0d90e9cf150,1,1,0,1,1,1,1000,-3996,f009f064,-4087,0fe10f88,3976,0fe10f88,4065
217,217,0,0,0fe1f0090f88f064,1,1,0,1,1,1,1000,-4213,ef39ef8b,-4295,10af105f,4191,10af105f,4271
218,218,0,0,10afef39105fef8b,1,1,0,1,1,1,1000,-4412,ee69eec4,-4503,117f111f,4383,117f111f,4479
219,219,0,0,117fee69111feec4,1,1,0,1,1,1,1000,-4581,edcaee1b,-4662,121d11ca,4554,121d11ca,4637
220,220,0,0,121dedca11caee1b,1,1,0,1,1,1,1000,-4743,ed4ded79,-4787,1295126d,4717,1295126d,4757
221,221,0,0,1295ed4d126ded79,1,1,0,1,1,1,1000,-4873,ec9eecf7,-4962,133f12eb,4843,133f12eb,4927
222,222,0,0,133fec9e12ebecf7,1,1,0,1,1,1,1000,-4993,ec41ec7f,-5055,139e1364,4964,139e1364,5022
223,223,0,0,139eec411364ec7f,1,1,0,1,1,1,1000,-5113,ebfcec07,-5124,13e713d8,5080,13e713d8,5095
224,224,0,0,13e7ebfc13d8ec07,1,1,0,1,1,1,1000,-5207,ebadeba9,-5203,14301436,5174,14301436,5168
225,225,0,0,1430ebad1436eba9,1,1,0,1,1,1,1000,-5253,eb60eb7b,-5280,147d1462,5218,147d1462,5245
226,226,0,0,147deb601462eb7b,1,1,0,1,1,1,1000,-5278,eb3eeb62,-5314,14a3147c,5244,14a3147c,5283
227,227,0,0,14a3eb3e147ceb62,1,1,0,1,1,1,1000,-5313,eb43eb3f,-5309,149c14a2,5282,149c14a2,5276
228,228,0,0,149ceb4314a2eb3f,1,1,0,1,1,1,1000,-5312,eb57eb40,-5289,1488149d,5277,1488149d,5256
229,229,0,0,1488eb57149deb40,1,1,0,1,1,1,1000,-5304,eb6feb48,-5265,14701497,5271,14701497,5232
230,230,0,0,1470eb6f1497eb48,1,1,0,1,1,1,1000,-5244,ebb2eb84,-5198,142e145b,5211,142e145b,5166
231,231,0,0,142eebb2145beb84,1,1,0,1,1,1,1000,-5179,ebeeebc5,-5138,13f51418,5144,13f51418,5109
232,232,0,0,13f5ebee1418ebc5,1,1,0,1,1,1,1000,-5086,ec4eec22,-5042,139013be,5054,139013be,5008
233,233,0,0,1390ec4e13beec22,1,1,0,1,1,1,1000,-5003,eca1ec75,-4959,1342136c,4972,1342136c,4930
234,234,0,0,1342eca1136cec75,1,1,0,1,1,1,1000,-4878,ed3aecf2,-4806,12a912f2,4850,12a912f2,4777
235,235,0,0,12a9ed3a12f2ecf2,1,1,0,1,1,1,1000,-4723,edd8ed8d,-4648,120a1256,4694,120a1256,4618
236,236,0,0,120aedd81256ed8d,1,1,0,1,1,1,1000,-4547,ee8dee3d,-4467,115b11ab,4523,115b11ab,4443
237,237,0,0,115bee8d11abee3d,1,1,0,1,1,1,1000,-4392,ef43eed8,-4285,10a3110f,4367,10a3110f,4259
238,238,0,0,10a3ef43110feed8,1,1,0,1,1,1,1000,-4181,effdefab,-4099,0fee1041,4161,0fee1041,4078
239,239,0,0,0feeeffd1041efab,1,1,0,1,1,1,1000,-3969,f0f4f07f,-3852,0ef90f6d,3949,0ef90f6d,3833
240,240,0,0,0ef9f0f40f6df07f,1,1,0,1,1,1,1000,-3744,f1c7f160,-3641,0e290e89,3721,0e290e89,3625
241,241,0,0,0e29f1c70e89f160,1,1,0,1,1,1,1000,-3508,f2c7f24c,-3385,0d250da0,3488,0d250da0,3365
242,242,0,0,0d25f2c70da0f24c,1,1,0,1,1,1,1000,-3240,f3ddf358,-3107,0c150c97,3223,0c150c97,3093
243,243,0,0,0c15f3dd0c97f358,1,1,0,1,1,1,1000,-2980,f4e8f45c,-2840,0b0e0b9a,2970,0b0e0b9a,2830
244,244,0,0,0b0ef4e80b9af45c,1,1,0,1,1,1,1000,-2690,f60df57e,-2547,09e90a77,2679,09e90a77,2537
245,245,0,0,09e9f60d0a77f57e,1,1,0,1,1,1,1000,-2395,f736f6a5,-2250,08c40956,2390,08c40956,2244
246,246,0,0,08c4f7360956f6a5,1,1,0,1,1,1,1000,-2099,f865f7cd,-1947,0799082e,2094,0799082e,1945
247,247,0,0,0799f865082ef7cd,1,1,0,1,1,1,1000,-1778,f9aaf90e,-1622,065806f0,1776,065806f0,1624
248,248,0,0,0658f9aa06f0f90e,1,1,0,1,1,1,1000,-1483,fae5fa35,-1307,051d05cb,1483,051d05cb,1309
249,249,0,0,051dfae505cbfa35,1,1,0,1,1,1,1000,-1132,fc3afb94,-966,03cc0472,1138,03cc0472,972
250,250,0,0,03ccfc3a0472fb94,1,1,0,1,1,1,1000,-814,fd7ffcd2,-641,02890334,820,02890334,649
251,251,0,0,0289fd7f0334fcd2,1,1,0,1,1,1,1000,-487,fecafe19,-310,014301f2,498,014301f2,323
252,252,0,0,0143feca01f2fe19,1,1,0,1,1,1,1000,-156,0018ff64,24,fff900ab,171,fff900ab,-7
253,253,0,0,fff9001800abff64,1,1,0,1,1,1,1000,189,015300bd,339,febeff55,-171,febeff55,-322
254,254,0,0,febe0153ff5500bd,1,1,0,1,1,1,1000,514,02ba0202,698,fd5ffe15,-491,fd5ffe15,-673
255,255,0,0,fd5f02bafe150202,1,1,0,1,1,1,1000,849,03f90351,1017,fc1cfcc4,-828,fc1cfcc4,-996
256,256,0,0,fc1c03f9fcc40351,1,1,0,1,1,1,1000,1186,053f04a2,1343,fadbfb7a,-1158,fadbfb7a,-1317
257,257,0,0,fadb053ffb7a04a2,1,1,0,1,1,1,1000,1502,067705de,1655,f9a8fa3c,-1476,f9a8fa3c,-1624
258,258,0,0,f9a80677fa3c05de,1,1,0,1,1,1,1000,1819,07b2071b,1970,f870f908,-1784,f870f908,-1936
259,259,0,0,f87007b2f908071b,1,1,0,1,1,1,1000,2135,08f00857,2288,f734f7cc,-2100,f734f7cc,-2252
260,260,0,0,f73408f0f7cc0857,1,1,0,1,1,1,1000,2444,0a15098c,2581,f613f6a1,-2399,f613f6a1,-2541
261,261,0,0,f6130a15f6a1098c,1,1,0,1,1,1,1000,2724,0b480aa4,2888,f4e5f586,-2682,f4e5f586,-2843
262,262,0,0,f4e50b48f5860aa4,1,1,0,1,1,1,1000,2999,0c530bb7,3155,f3ddf475,-2955,f3ddf475,-3107
263,263,0,0,f3dd0c53f4750bb7,1,1,0,1,1,1,1000,3287,0d6a0cd7,3434,f2caf35a,-3238,f2caf35a,-3382
264,264,0,0,f2ca0d6af35a0cd7,1,1,0,1,1,1,1000,3556,0e600de4,3680,f1d4f24e,-3506,f1d4f24e,-3628
265,265,0,0,f1d40e60f24e0de4,1,1,0,1,1,1,1000,3775,0f350ebf,3893,f0fff175,-3723,f0fff175,-3841
266,266,0,0,f0ff0f35f1750ebf,1,1,0,1,1,1,1000,4023,101b0fb7,4123,f01cf07b,-3973,f01cf07b,-4068
267,267,0,0,f01c101bf07b0fb7,1,1,0,1,1,1,1000,4246,10df1096,4319,ef5cefa1,-4191,ef5cefa1,-4260
268,268,0,0,ef5c10dfefa11096,1,1,0,1,1,1,1000,4410,11b5113a,4533,ee88ef00,-4352,ee88ef00,-4472
269,269,0,0,ee8811b5ef00113a,1,1,0,1,1,1,1000,4606,125911fe,4697,ede6ee3f,-4545,ede6ee3f,-4634
270,270,0,0,ede61259ee3f11fe,1,1,0,1,1,1,1000,4772,12eb12a4,4843,ed51ed99,-4711,ed51ed99,-4783
271,271,0,0,ed5112ebed9912a4,1,1,0,1,1,1,1000,4901,13771325,4983,eccaed1b,-4837,eccaed1b,-4918
272,272,0,0,ecca1377ed1b1325,1,1,0,1,1,1,1000,5031,13d013a7,5072,ec70ec9a,-4966,ec70ec9a,-5008
273,273,0,0,ec7013d0ec9a13a7,1,1,0,1,1,1,1000,5133,1433140d,5171,ec0eec34,-5068,ec0eec34,-5106
274,274,0,0,ec0e1433ec34140d,1,1,0,1,1,1,1000,5229,148c146d,5260,ebb8ebd8,-5160,ebb8ebd8,-5192
275,275,0,0,ebb8148cebd8146d,1,1,0,1,1,1,1000,5270,14ba1496,5306,eb89ebad,-5203,eb89ebad,-5239
276,276,0,0,eb8914baebad1496,1,1,0,1,1,1,1000,5303,14d614b7,5334,eb71eb8d,-5235,eb71eb8d,-5263
277,277,0,0,eb7114d6eb8d14b7,1,1,0,1,1,1,1000,5357,14d314ed,5331,eb73eb58,-5288,eb73eb58,-5261
278,278,0,0,eb7314d3eb5814ed,1,1,0,1,1,1,1000,5351,14c614e7,5318,eb80eb5f,-5281,eb80eb5f,-5248
279,279,0,0,eb8014c6eb5f14e7,1,1,0,1,1,1,1000,5313,14b014c1,5296,eb97eb88,-5240,eb97eb88,-5225
280,280,0,0,eb9714b0eb8814c1,1,1,0,1,1,1,1000,5266,147c1492,5244,ebc9ebb2,-5198,ebc9ebb2,-5175
281,281,0,0,ebc9147cebb21492,1,1,0,1,1,1,1000,5210,1432145a,5170,ec15ebe6,-5146,ec15ebe6,-5099
282,282,0,0,ec151432ebe6145a,1,1,0,1,1,1,1000,5134,13ec140e,5100,ec55ec37,-5065,ec55ec37,-5035
283,283,0,0,ec5513ecec37140e,1,1,0,1,1,1,1000,5012,13761394,4982,eccdecab,-4949,eccdecab,-4915
284,284,0,0,eccd1376ecab1394,1,1,0,1,1,1,1000,4917,12f21335,4850,ed4ded0c,-4852,ed4ded0c,-4787
285,285,0,0,ed4d12f2ed0c1335,1,1,0,1,1,1,1000,4761,12391299,4665,ee03eda5,-4699,ee03eda5,-4605
286,286,0,0,ee031239eda51299,1,1,0,1,1,1,1000,4591,11aa11ef,4522,ee94ee4b,-4533,ee94ee4b,-4460
287,287,0,0,ee9411aaee4b11ef,1,1,0,1,1,1,1000,4412,10d4113c,4308,ef67eefe,-4354,ef67eefe,-4249
288,288,0,0,ef6710d4eefe113c,1,1,0,1,1,1,1000,4213,10181075,4120,f023efc5,-4155,f023efc5,-4061
289,289,0,0,f0231018efc51075,1,1,0,1,1,1,1000,3987,0f390f93,3897,f0fbf0a7,-3929,f0fbf0a7,-3845
290,290,0,0,f0fb0f39f0a70f93,1,1,0,1,1,1,1000,3761,0e530eb1,3667,f1dff186,-3706,f1dff186,-3617
291,291,0,0,f1df0e53f1860eb1,1,1,0,1,1,1,1000,3535,0d3e0dcf,3390,f2f1f267,-3481,f2f1f267,-3343
292,292,0,0,f2f10d3ef2670dcf,1,1,0,1,1,1,1000,3277,0c460ccd,3142,f3ecf366,-3226,f3ecf366,-3092
293,293,0,0,f3ec0c46f3660ccd,1,1,0,1,1,1,1000,2986,0b2b0baa,2859,f505f484,-2940,f505f484,-2811
294,294,0,0,f5050b2bf4840baa,1,1,0,1,1,1,1000,2725,0a0b0aa5,2571,f61ff584,-2684,f61ff584,-2529
295,295,0,0,f61f0a0bf5840aa5,1,1,0,1,1,1,1000,2421,08e90975,2281,f740f6b3,-2381,f740f6b3,-2240
296,296,0,0,f74008e9f6b30975,1,1,0,1,1,1,1000,2130,07af0852,1967,f873f7d6,-2090,f873f7d6,-1933
297,297,0,0,f87307aff7d60852,1,1,0,1,1,1,1000,1800,067a0708,1658,f9a3f919,-1767,f9a3f919,-1629
298,298,0,0,f9a3067af9190708,1,1,0,1,1,1,1000,1484,052b05cc,1323,faf5fa57,-1449,faf5fa57,-1291
299,299,0,0,faf5052bfa5705cc,1,1,0,1,1,1,1000,1170,03e70492,999,fc33fb8c,-1140,fc33fb8c,-973
300,300,0,0,fc3303e7fb8c0492,1,1,0,1,1,1,1000,835,02b80343,696,fd60fcd8,-808,fd60fcd8,-672
301,301,0,0,fd6002b8fcd80343,1,1,0,1,1,1,1000,502,015d01f6,349,febafe1d,-483,febafe1d,-326
302,302,0,0,feba015dfe1d01f6,1,1,0,1,1,1,1000,192,000c00c0,12,0005ff51,-175,0005ff51,5
303,303,0,0,0005000cff5100c0,1,1,0,1,1,1,1000,-163,febcff5d,-324,015200b1,177,015200b1,338
304,304,0,0,0152febc00b1ff5d,1,1,0,1,1,1,1000,-483,fd72fe1d,-654,029801f1,497,029801f1,664
305,305,0,0,0298fd7201f1fe1d,1,1,0,1,1,1,1000,-842,fc17fcb6,-1001,03ee0354,852,03ee0354,1006
306,306,0,0,03eefc170354fcb6,1,1,0,1,1,1,1000,-1149,fae2fb83,-1310,05240486,1158,05240486,1316
307,307,0,0,0524fae20486fb83,1,1,0,1,1,1,1000,-1493,f99afa2b,-1638,066605d8,1496,066605d8,1638
308,308,0,0,0666f99a05d8fa2b,1,1,0,1,1,1,1000,-1801,f85ff8f7,-1953,07a40707,1799,07a40707,1956
309,309,0,0,07a4f85f0707f8f7,1,1,0,1,1,1,1000,-2112,f729f7c0,-2263,08d3083e,2110,08d3083e,2259
310,310,0,0,08d3f729083ef7c0,1,1,0,1,1,1,1000,-2414,f601f692,-2559,09f90969,2409,09f90969,2553
311,311,0,0,09f9f6010969f692,1,1,0,1,1,1,1000,-2702,f4def572,-2850,0b1b0a84,2692,0b1b0a84,2843
312,312,0,0,0b1bf4de0a84f572,1,1,0,1,1,1,1000,-2975,f3d6f461,-3114,0c1d0b94,2964,0c1d0b94,3101
313,313,0,0,0c1df3d60b94f461,1,1,0,1,1,1,1000,-3274,f2b8f336,-3400,0d3c0cba,3258,0d3c0cba,3388
314,314,0,0,0d3cf2b80cbaf336,1,1,0,1,1,1,1000,-3521,f1dcf23f,-3620,0e130db1,3505,0e130db1,3603
315,315,0,0,0e13f1dc0db1f23f,1,1,0,1,1,1,1000,-3769,f0d7f147,-3881,0f170ea8,3752,0f170ea8,3863
316,316,0,0,0f17f0d70ea8f147,1,1,0,1,1,1,1000,-3988,effaf06c,-4102,0fed0f80,3968,0fed0f80,4077
317,317,0,0,0fedeffa0f80f06c,1,1,0,1,1,1,1000,-4204,ef2cef94,-4308,10bf1056,4182,10bf1056,4287
318,318,0,0,10bfef2c1056ef94,1,1,0,1,1,1,1000,-4398,ee68eed2,-4504,117c1115,4373,117c1115,4476
319,319,0,0,117cee681115eed2,1,1,0,1,1,1,1000,-4565,edcaee2b,-4662,121a11b9,4537,121a11b9,4634
320,320,0,0,121aedca11b9ee2b,1,1,0,1,1,1,1000,-4755,ed2ced6d,-4820,12b61275,4725,12b61275,4790
321,321,0,0,12b6ed2c1275ed6d,1,1,0,1,1,1,1000,-4864,eca2ed00,-4958,134012e3,4835,134012e3,4928
322,322,0,0,1340eca212e3ed00,1,1,0,1,1,1,1000,-4998,ec3bec7a,-5061,13a6136b,4971,13a6136b,5030
323,323,0,0,13a6ec3b136bec7a,1,1,0,1,1,1,1000,-5097,ebe4ec17,-5148,13fc13c9,5065,13fc13c9,5116
324,324,0,0,13fcebe413c9ec17,1,1,0,1,1,1,1000,-5208,eba0eba8,-5216,14461435,5173,14461435,5190
325,325,0,0,1446eba01435eba8,1,1,0,1,1,1,1000,-5253,eb61eb7b,-5279,147c1461,5217,147c1461,5244
326,326,0,0,147ceb611461eb7b,1,1,0,1,1,1,1000,-5299,eb48eb4d,-5304,1493148d,5261,1493148d,5267
327,327,0,0,1493eb48148deb4d,1,1,0,1,1,1,1000,-5323,eb43eb35,-5309,14a014a7,5287,14a014a7,5280
328,328,0,0,14a0eb4314a7eb35,1,1,0,1,1,1,1000,-5303,eb56eb49,-5290,14871494,5268,14871494,5255
329,329,0,0,1487eb561494eb49,1,1,0,1,1,1,1000,-5277,eb5deb63,-5283,14831479,5241,14831479,5251
330,330,0,0,1483eb5d1479eb63,1,1,0,1,1,1,1000,-5241,eba1eb87,-5215,143c1458,5208,143c1458,5180
331,331,0,0,143ceba11458eb87,1,1,0,1,1,1,1000,-5178,ebdaebc6,-5158,14041419,5145,14041419,5124
332,332,0,0,1404ebda1419ebc6,1,1,0,1,1,1,1000,-5105,ec37ec0f,-5065,13ab13d2,5074,13ab13d2,5035
333,333,0,0,13abec3713d2ec0f,1,1,0,1,1,1,1000,-5008,ecb5ec70,-4939,132c136c,4972,132c136c,4908
334,334,0,0,132cecb5136cec70,1,1,0,1,1,1,1000,-4872,ed37ecf8,-4809,12ac12e8,4840,12ac12e8,4780
335,335,0,0,12aced3712e8ecf8,1,1,0,1,1,1,1000,-4732,eddded84,-4643,1207125e,4702,1207125e,4615
336,336,0,0,1207eddd125eed84,1,1,0,1,1,1,1000,-4572,ee79ee24,-4487,116e11bf,4543,116e11bf,4462
337,337,0,0,116eee7911bfee24,1,1,0,1,1,1,1000,-4413,ef4eeec3,-4274,10991122,4386,10991122,4249
338,338,0,0,1099ef4e1122eec3,1,1,0,1,1,1,1000,-4199,f011ef99,-4079,0fd9104e,4174,0fd9104e,4057
339,339,0,0,0fd9f011104eef99,1,1,0,1,1,1,1000,-3987,f0eaf06d,-3862,0f010f7b,3963,0f010f7b,3841
340,340,0,0,0f01f0ea0f7bf06d,1,1,0,1,1,1,1000,-3742,f1d4f162,-3628,0e1a0e88,3720,0e1a0e88,3610
341,341,0,0,0e1af1d40e88f162,1,1,0,1,1,1,1000,-3502,f2d0f252,-3376,0d200d99,3481,0d200d99,3360
342,342,0,0,0d20f2d00d99f252,1,1,0,1,1,1,1000,-3262,f3e8f342,-3096,0c0c0caf,3247,0c0c0caf,3084
343,343,0,0,0c0cf3e80caff342,1,1,0,1,1,1,1000,-2972,f4e4f464,-2844,0b150b93,2963,0b150b93,2837
344,344,0,0,0b15f4e40b93f464,1,1,0,1,1,1,1000,-2682,f614f586,-2540,09e60a71,2673,09e60a71,2534
345,345,0,0,09e6f6140a71f586,1,1,0,1,1,1,1000,-2411,f730f695,-2256,08ce0964,2404,08ce0964,2254
346,346,0,0,08cef7300964f695,1,1,0,1,1,1,1000,-2125,f87af7b3,-1926,07860847,2119,07860847,1926
347,347,0,0,0786f87a0847f7b3,1,1,0,1,1,1,1000,-1768,f9a9f918,-1623,065706e9,1769,065706e9,1623
348,348,0,0,0657f9a906e9f918,1,1,0,1,1,1,1000,-1473,fad8fa3f,-1320,052905c0,1472,052905c0,1321
349,349,0,0,0529fad805c0fa3f,1,1,0,1,1,1,1000,-1126,fc2dfb9a,-979,03da046c,1132,03da046c,986
350,350,0,0,03dafc2d046cfb9a,1,1,0,1,1,1,1000,-820,fd72fccc,-654,0298033c,828,0298033c,664
351,351,0,0,0298fd72033cfccc,1,1,0,1,1,1,1000,-483,fee5fe1d,-283,012901ef,495,012901ef,297
352,352,0,0,0129fee501effe1d,1,1,0,1,1,1,1000,-164,0011ff5c,17,fffd00b2,178,fffd00b2,-3
353,353,0,0,fffd001100b2ff5c,1,1,0,1,1,1,1000,202,015d00ca,349,feb7ff44,-188,feb7ff44,-329
354,354,0,0,feb7015dff4400ca,1,1,0,1,1,1,1000,516,02b10204,689,fd65fe0f,-497,fd65fe0f,-667
355,355,0,0,fd6502b1fe0f0204,1,1,0,1,1,1,1000,864,04070360,1031,fc15fcb9,-839,fc15fcb9,-1003
356,356,0,0,fc150407fcb90360,1,1,0,1,1,1,1000,1189,053e04a5,1342,fae3fb73,-1165,fae3fb73,-1309
357,357,0,0,fae3053efb7304a5,1,1,0,1,1,1,1000,1515,068605eb,1670,f999fa33,-1485,f999fa33,-1639
358,358,0,0,f9990686fa3305eb,1,1,0,1,1,1,1000,1824,07be0720,1982,f864f903,-1789,f864f903,-1948
359,359,0,0,f86407bef9030720,1,1,0,1,1,1,1000,2150,08f40866,2292,f735f7c0,-2112,f735f7c0,-2251
360,360,0,0,f73508f4f7c00866,1,1,0,1,1,1,1000,2433,0a0f0981,2575,f618f6a6,-2394,f618f6a6,-2536
361,361,0,0,f6180a0ff6a60981,1,1,0,1,1,1,1000,2732,0b540aac,2900,f4d5f57f,-2689,f4d5f57f,-2859
362,362,0,0,f4d50b54f57f0aac,1,1,0,1,1,1,1000,3005,0c510bbd,3153,f3dff46e,-2962,f3dff46e,-3105
363,363,0,0,f3df0c51f46e0bbd,1,1,0,1,1,1,1000,3282,0d5c0cd2,3420,f2d7f360,-3232,f2d7f360,-3369
364,364,0,0,f2d70d5cf3600cd2,1,1,0,1,1,1,1000,3540,0e510dd4,3665,f1def25f,-3489,f1def25f,-3618
365,365,0,0,f1de0e51f25f0dd4,1,1,0,1,1,1,1000,3778,0f360ec2,3894,f103f173,-3725,f103f173,-3837
366,366,0,0,f1030f36f1730ec2,1,1,0,1,1,1,1000,4022,10180fb6,4120,f023f07f,-3969,f023f07f,-4061
367,367,0,0,f0231018f07f0fb6,1,1,0,1,1,1,1000,4235,10e9108b,4329,ef52efad,-4179,ef52efad,-4270
368,368,0,0,ef5210e9efad108b,1,1,0,1,1,1,1000,4427,11b9114b,4537,ee83eef0,-4368,ee83eef0,-4477
369,369,0,0,ee8311b9eef0114b,1,1,0,1,1,1,1000,4606,125611fe,4694,ede9ee43,-4541,ede9ee43,-4631
370,370,0,0,ede91256ee4311fe,1,1,0,1,1,1,1000,4765,12d6129d,4822,ed69eda1,-4703,ed69eda1,-4759
371,371,0,0,ed6912d6eda1129d,1,1,0,1,1,1,1000,4889,136e1319,4974,ecd1ed29,-4823,ecd1ed29,-4911
372,372,0,0,ecd1136eed291319,1,1,0,1,1,1,1000,5027,13d413a3,5076,ec6cec99,-4967,ec6cec99,-5012
