Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_data[63:0],i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_en,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_sync,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a,i_system_wrapper/system_i/axi_ad9250_dma_irq,i_system_wrapper/system_i/sys_concat_intc_dout[15:0],data_a_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],data_b_high[31:0],data_b_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],data_b_high'[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED
39,39,0,0,0fdef00d1045efa4,1,1,0,1,1,1,1000,-3964,f0f1f084,-3855,0ef90f68,3944,0ef90f68,3833
40,40,0,0,0ef9f0f10f68f084,1,1,0,1,1,1,1000,-3743,f1c0f161,-3648,0e2c0e8e,3726,0e2c0e8e,3628
41,41,0,0,0e2cf1c00e8ef161,1,1,0,1,1,1,1000,-3513,f2dbf247,-3365,0d150da7,3495,0d150da7,3349
42,42,0,0,0d15f2db0da7f247,1,1,0,1,1,1,1000,-3241,f3e2f357,-3102,0c100c96,3222,0c100c96,3088
43,43,0,0,0c10f3e20c96f357,1,1,0,1,1,1,1000,-2994,f4e5f44e,-2843,0b120ba9,2985,0b120ba9,2834
44,44,0,0,0b12f4e50ba9f44e,1,1,0,1,1,1,1000,-2675,f615f58d,-2539,09e30a66,2662,09e30a66,2531
45,45,0,0,09e3f6150a66f58d,1,1,0,1,1,1,1000,-2390,f72af6aa,-2262,08d20951,2385,08d20951,2258
46,46,0,0,08d2f72a0951f6aa,1,1,0,1,1,1,1000,-2111,f875f7c1,-1931,07860837,2103,07860837,1926
47,47,0,0,0786f8750837f7c1,1,1,0,1,1,1,1000,-1760,f9a9f920,-1623,065806df,1759,065806df,1624
48,48,0,0,0658f9a906dff920,1,1,0,1,1,1,1000,-1453,fadafa53,-1318,052705b3,1459,052705b3,1319
49,49,0,0,0527fada05b3fa53,1,1,0,1,1,1,1000,-1117,fc29fba3,-983,03dc0462,1122,03dc0462,988
50,50,0,0,03dcfc290462fba3,1,1,0,1,1,1,1000,-814,fd81fcd2,-639,02870337,823,02870337,647
51,51,0,0,0287fd810337fcd2,1,1,0,1,1,1,1000,-483,fed3fe1d,-301,013801eb,491,013801eb,312
52,52,0,0,0138fed301ebfe1d,1,1,0,1,1,1,1000,-147,000aff6d,10,000300a2,162,000300a2,3
53,53,0,0,0003000a00a2ff6d,1,1,0,1,1,1,1000,196,017200c4,370,fea1ff4b,-181,fea1ff4b,-351
54,54,0,0,fea10172ff4b00c4,1,1,0,1,1,1,1000,516,02c00204,704,fd52fe0f,-497,fd52fe0f,-686
55,55,0,0,fd5202c0fe0f0204,1,1,0,1,1,1,1000,875,03fc036b,1020,fc1bfca9,-855,fc1bfca9,-997
56,56,0,0,fc1b03fcfca9036b,1,1,0,1,1,1,1000,1188,054c04a4,1356,fad3fb76,-1162,fad3fb76,-1325
57,57,0,0,fad3054cfb7604a4,1,1,0,1,1,1,1000,1508,068605e4,1670,f999fa3c,-1476,f999fa3c,-1639
58,58,0,0,f9990686fa3c05e4,1,1,0,1,1,1,1000,1825,07d70721,2007,f84af900,-1792,f84af900,-1974
59,59,0,0,f84a07d7f9000721,1,1,0,1,1,1,1000,2130,08ed0852,2285,f737f7d0,-2096,f737f7d0,-2249
60,60,0,0,f73708edf7d00852,1,1,0,1,1,1,1000,2434,0a120982,2578,f616f69e,-2402,f616f69e,-2538
61,61,0,0,f6160a12f69e0982,1,1,0,1,1,1,1000,2735,0b4c0aaf,2892,f4e2f57e,-2690,f4e2f57e,-2846
62,62,0,0,f4e20b4cf57e0aaf,1,1,0,1,1,1,1000,3005,0c4c0bbd,3148,f3e2f471,-2959,f3e2f471,-3102
63,63,0,0,f3e20c4cf4710bbd,1,1,0,1,1,1,1000,3286,0d590cd6,3417,f2d3f358,-3240,f2d3f358,-3373
64,64,0,0,f2d30d59f3580cd6,1,1,0,1,1,1,1000,3549,0e4a0ddd,3658,f1e5f254,-3500,f1e5f254,-3611
65,65,0,0,f1e50e4af2540ddd,1,1,0,1,1,1,1000,3774,0f400ebe,3904,f0f7f175,-3723,f0f7f175,-3849
66,66,0,0,f0f70f40f1750ebe,1,1,0,1,1,1,1000,4025,101e0fb9,4126,f019f07b,-3973,f019f07b,-4071
67,67,0,0,f019101ef07b0fb9,1,1,0,1,1,1,1000,4230,10dd1086,4317,ef5cefb0,-4176,ef5cefb0,-4260
68,68,0,0,ef5c10ddefb01086,1,1,0,1,1,1,1000,4404,11a71134,4519,ee95ef08,-4344,ee95ef08,-4459
69,69,0,0,ee9511a7ef081134,1,1,0,1,1,1,1000,4612,12521204,4690,edebee38,-4552,edebee38,-4629
70,70,0,0,edeb1252ee381204,1,1,0,1,1,1,1000,4763,12e6129b,4838,ed57eda3,-4701,ed57eda3,-4777
71,71,0,0,ed5712e6eda3129b,1,1,0,1,1,1,1000,4913,13681331,4968,ecd4ed11,-4847,ecd4ed11,-4908
72,72,0,0,ecd41368ed111331,1,1,0,1,1,1,1000,5035,13d813ab,5080,ec65ec95,-4971,ec65ec95,-5019
73,73,0,0,ec6513d8ec9513ab,1,1,0,1,1,1,1000,5126,14361406,5174,ec0fec39,-5063,ec0fec39,-5105
74,74,0,0,ec0f1436ec391406,1,1,0,1,1,1,1000,5224,14841468,5252,ebbdebdb,-5157,ebbdebdb,-5187
75,75,0,0,ebbd1484ebdb1468,1,1,0,1,1,1,1000,5289,14bf14a9,5311,eb85eb98,-5224,eb85eb98,-5243
76,76,0,0,eb8514bfeb9814a9,1,1,0,1,1,1,1000,5307,14cd14bb,5325,eb74eb83,-5245,eb74eb83,-5260
77,77,0,0,eb7414cdeb8314bb,1,1,0,1,1,1,1000,5329,14e214d1,5346,eb5eeb74,-5260,eb5eeb74,-5282
78,78,0,0,eb5e14e2eb7414d1,1,1,0,1,1,1,1000,5341,14cc14dd,5324,eb75eb65,-5275,eb75eb65,-5259
79,79,0,0,eb7514cceb6514dd,1,1,0,1,1,1,1000,5322,14b314ca,5299,eb90eb79,-5255,eb90eb79,-5232
80,80,0,0,eb9014b3eb7914ca,1,1,0,1,1,1,1000,5249,14871481,5255,ebbfebc4,-5180,ebbfebc4,-5185
81,81,0,0,ebbf1487ebc41481,1,1,0,1,1,1,1000,5205,14351455,5173,ec0debef,-5137,ec0debef,-5107
82,82,0,0,ec0d1435ebef1455,1,1,0,1,1,1,1000,5117,13e013fd,5088,ec64ec46,-5050,ec64ec46,-5020
83,83,0,0,ec6413e0ec4613fd,1,1,0,1,1,1,1000,5017,135e1399,4958,ece2eca8,-4952,ece2eca8,-4894
84,84,0,0,ece2135eeca81399,1,1,0,1,1,1,1000,4904,12eb1328,4843,ed5aed19,-4839,ed5aed19,-4774
85,85,0,0,ed5a12ebed191328,1,1,0,1,1,1,1000,4764,124c129c,4684,edf1eda6,-4698,edf1eda6,-4623
86,86,0,0,edf1124ceda6129c,1,1,0,1,1,1,1000,4595,119f11f3,4511,ee9dee49,-4535,ee9dee49,-4451
87,87,0,0,ee9d119fee4911f3,1,1,0,1,1,1,1000,4426,10d1114a,4305,ef64eef3,-4365,ef64eef3,-4252
88,88,0,0,ef6410d1eef3114a,1,1,0,1,1,1,1000,4225,10191081,4121,f021efb8,-4168,f021efb8,-4063
89,89,0,0,f0211019efb81081,1,1,0,1,1,1,1000,3993,0f2b0f99,3883,f10bf09a,-3942,f10bf09a,-3829
90,90,0,0,f10b0f2bf09a0f99,1,1,0,1,1,1,1000,3770,0e420eba,3650,f1f2f17b,-3717,f1f2f17b,-3598
91,91,0,0,f1f20e42f17b0eba,1,1,0,1,1,1,1000,3532,0d470dcc,3399,f2f0f266,-3482,f2f0f266,-3344
92,92,0,0,f2f00d47f2660dcc,1,1,0,1,1,1,1000,3280,0c480cd0,3144,f3e7f360,-3232,f3e7f360,-3097
93,93,0,0,f3e70c48f3600cd0,1,1,0,1,1,1,1000,3001,0b340bb9,2868,f4f7f474,-2956,f4f7f474,-2825
94,94,0,0,f4f70b34f4740bb9,1,1,0,1,1,1,1000,2720,0a0b0aa0,2571,f61ff589,-2679,f61ff589,-2529
95,95,0,0,f61f0a0bf5890aa0,1,1,0,1,1,1,1000,2420,08f30974,2291,f733f6b5,-2379,f733f6b5,-2253
96,96,0,0,f73308f3f6b50974,1,1,0,1,1,1,1000,2127,07bb084f,1979,f86af7d6,-2090,f86af7d6,-1942
97,97,0,0,f86a07bbf7d6084f,1,1,0,1,1,1,1000,1791,068306ff,1667,f99ef922,-1758,f99ef922,-1634
98,98,0,0,f99e0683f92206ff,1,1,0,1,1,1,1000,1492,052f05d4,1327,faeefa4a,-1462,faeefa4a,-1298
99,99,0,0,faee052ffa4a05d4,1,1,0,1,1,1,1000,1176,03f00498,1008,fc2dfb82,-1150,fc2dfb82,-979
100,100,0,0,fc2d03f0fb820498,1,1,0,1,1,1,1000,847,02a4034f,676,fd75fcc8,-824,fd75fcc8,-651
101,101,0,0,fd7502a4fcc8034f,1,1,0,1,1,1,1000,497,015201f1,338,fec3fe21,-479,fec3fe21,-317
102,102,0,0,fec30152fe2101f1,1,1,0,1,1,1,1000,177,000a00b1,10,0006ff62,-158,0006ff62,6
103,103,0,0,0006000aff6200b1,1,1,0,1,1,1,1000,-160,feb9ff60,-327,015700ae,174,015700ae,343
104,104,0,0,0157feb900aeff60,1,1,0,1,1,1,1000,-508,fd6dfe04,-659,029d020b,523,029d020b,669
105,105,0,0,029dfd6d020bfe04,1,1,0,1,1,1,1000,-830,fc23fcc2,-989,03e60348,840,03e60348,998
106,106,0,0,03e6fc230348fcc2,1,1,0,1,1,1,1000,-1159,fadcfb79,-1316,052c048c,1164,052c048c,1324
107,107,0,0,052cfadc048cfb79,1,1,0,1,1,1,1000,-1497,f9a2fa27,-1630,066605df,1503,066605df,1638
108,108,0,0,0666f9a205dffa27,1,1,0,1,1,1,1000,-1791,f857f901,-1961,07a606fe,1790,07a606fe,1958
109,109,0,0,07a6f85706fef901,1,1,0,1,1,1,1000,-2112,f725f7c0,-2267,08d7083b,2107,08d7083b,2263
110,110,0,0,08d7f725083bf7c0,1,1,0,1,1,1,1000,-2414,f5faf692,-2566,0a000963,2403,0a000963,2560
111,111,0,0,0a00f5fa0963f692,1,1,0,1,1,1,1000,-2705,f4e2f56f,-2846,0b140a8b,2699,0b140a8b,2836
112,112,0,0,0b14f4e20a8bf56f,1,1,0,1,1,1,1000,-2993,f3d4f44f,-3116,0c1d0ba5,2981,0c1d0ba5,3101
113,113,0,0,0c1df3d40ba5f44f,1,1,0,1,1,1,1000,-3273,f2a9f337,-3415,0d440cc2,3266,0d440cc2,3396
114,114,0,0,0d44f2a90cc2f337,1,1,0,1,1,1,1000,-3521,f1d2f23f,-3630,0e1e0db5,3509,0e1e0db5,3614
115,115,0,0,0e1ef1d20db5f23f,1,1,0,1,1,1,1000,-3743,f0e7f161,-3865,0f060e8d,3725,0f060e8d,3846
116,116,0,0,0f06f0e70e8df161,1,1,0,1,1,1,1000,-3996,eff7f064,-4105,0ff40f89,3977,0ff40f89,4084
117,117,0,0,0ff4eff70f89f064,1,1,0,1,1,1,1000,-4209,ef39ef8f,-4295,10b01057,4183,10b01057,4272
118,118,0,0,10b0ef391057ef8f,1,1,0,1,1,1,1000,-4387,ee6aeedd,-4502,11791109,4361,11791109,4473
119,119,0,0,1179ee6a1109eedd,1,1,0,1,1,1,1000,-4585,edc7ee17,-4665,121e11cc,4556,121e11cc,4638
120,120,0,0,121eedc711ccee17,1,1,0,1,1,1,1000,-4729,ed3fed87,-4801,12a4125a,4698,12a4125a,4772
121,121,0,0,12a4ed3f125aed87,1,1,0,1,1,1,1000,-4871,ecb5ecf9,-4939,132b12ef,4847,132b12ef,4907
122,122,0,0,132becb512efecf9,1,1,0,1,1,1,1000,-5016,ec4dec68,-5043,13951378,4984,13951378,5013
123,123,0,0,1395ec4d1378ec68,1,1,0,1,1,1,1000,-5117,ebeaec03,-5142,13f813e1,5089,13f813e1,5112
124,124,0,0,13f8ebea13e1ec03,1,1,0,1,1,1,1000,-5179,eb97ebc5,-5225,1447141e,5150,1447141e,5191
125,125,0,0,1447eb97141eebc5,1,1,0,1,1,1,1000,-5251,eb72eb7d,-5262,146d1462,5218,146d1462,5229
126,126,0,0,146deb721462eb7d,1,1,0,1,1,1,1000,-5296,eb4feb50,-5297,148f148e,5262,148f148e,5263
127,127,0,0,148feb4f148eeb50,1,1,0,1,1,1,1000,-5303,eb48eb49,-5304,14921494,5268,14921494,5266
128,128,0,0,1492eb481494eb49,1,1,0,1,1,1,1000,-5307,eb42eb45,-5310,149d1498,5272,149d1498,5277
129,129,0,0,149deb421498eb45,1,1,0,1,1,1,1000,-5286,eb66eb5a,-5274,14751484,5252,14751484,5237
130,130,0,0,1475eb661484eb5a,1,1,0,1,1,1,1000,-5242,eba9eb86,-5207,14351456,5206,14351456,5173
131,131,0,0,1435eba91456eb86,1,1,0,1,1,1,1000,-5185,ebdaebbf,-5158,14091421,5153,14091421,5129
132,132,0,0,1409ebda1421ebbf,1,1,0,1,1,1,1000,-5086,ec39ec22,-5063,13a713bd,5053,13a713bd,5031
133,133,0,0,13a7ec3913bdec22,1,1,0,1,1,1,1000,-5011,ecbeec6d,-4930,131d1374,4980,131d1374,4893
134,134,0,0,131decbe1374ec6d,1,1,0,1,1,1,1000,-4867,ed37ecfd,-4809,12ac12e3,4835,12ac12e3,4780
135,135,0,0,12aced3712e3ecfd,1,1,0,1,1,1,1000,-4719,ede1ed91,-4639,12051250,4688,12051250,4613
136,136,0,0,1205ede11250ed91,1,1,0,1,1,1,1000,-4567,ee70ee29,-4496,117211bf,4543,117211bf,4466
137,137,0,0,1172ee7011bfee29,1,1,0,1,1,1,1000,-4405,ef43eecb,-4285,10a7111b,4379,10a7111b,4263
138,138,0,0,10a7ef43111beecb,1,1,0,1,1,1,1000,-4183,f005efa9,-4091,0fe61040,4160,0fe61040,4070
139,139,0,0,0fe6f0051040efa9,1,1,0,1,1,1,1000,-3990,f0e9f06a,-3863,0f020f82,3970,0f020f82,3842
140,140,0,0,0f02f0e90f82f06a,1,1,0,1,1,1,1000,-3762,f1d1f14e,-3631,0e1d0e9d,3741,0e1d0e9d,3613
141,141,0,0,0e1df1d10e9df14e,1,1,0,1,1,1,1000,-3508,f2dff24c,-3361,0d100da3,3491,0d100da3,3344
