Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,HEX,HEX,HEX,HEX
1010,1010,0,0,ff6effb0,-146,00a10062,1,0,1
1011,1011,0,0,fff8ff8e,-8,00180081,1,0,1
1012,1012,0,0,00af0070,175,ff65ffa5,1,0,1
1013,1013,0,0,0027008a,39,ffeeff83,1,0,1
1014,1014,0,0,ff6fffaf,-145,00a20064,1,0,1
1015,1015,0,0,fff7ff8d,-9,001a0083,1,0,1
1016,1016,0,0,00af0071,175,ff64ffa5,1,0,1
1017,1017,0,0,0024008d,36,ffeeff87,1,0,1
1018,1018,0,0,ff6effab,-146,00a40064,1,0,1
1019,1019,0,0,fff8ff8e,-8,001a0081,1,0,1
1020,1020,0,0,00ad0070,173,ff65ffa3,1,0,1
1021,1021,0,0,0027008b,39,ffecff83,1,0,1
1022,1022,0,0,ff6dffaf,-147,00a20062,1,0,1
1023,1023,0,0,fff9ff8f,-7,00170084,1,0,1
